name,wIn,hIn
obj199.png,0.2082,0.2638
obj200.png,1.5694,0.3472
obj201.png,0.4583,0.3472
obj202.png,2.1250,0.4861
obj203.png,0.7083,0.3472
obj204.png,0.1528,0.1667
obj205.png,0.2358,0.2913
obj206.png,0.1528,0.2500
obj207.png,3.9861,0.4028
obj208.png,0.1528,0.2500
obj209.png,2.9306,0.4722
obj210.png,3.8194,0.6250
obj211.png,2.1389,0.3472
obj212.png,3.8889,1.1528
obj213.png,2.6528,0.4861
obj214.png,1.6806,0.3472
obj215.png,2.0417,1.0139
obj216.png,0.2082,0.2638
obj217.png,1.1667,0.2917
obj218.png,1.0412,0.2915
obj219.png,1.3194,0.5000
obj220.png,3.0417,0.5417
obj221.png,5.3750,1.0694
obj222.png,3.5694,0.5417
obj223.png,1.1250,0.5417
obj224.png,1.2222,0.5556
