name,wIn,hIn
obj199.png,2.1806,0.5139
obj200.png,1.9722,0.4167
obj201.png,2.6806,0.5278
obj202.png,2.4028,0.5278
obj203.png,0.8194,0.5139
obj204.png,1.4722,0.4722
obj205.png,0.3330,0.1526
obj206.png,0.3469,0.1665
obj207.png,5.5833,0.4861
obj208.png,2.2500,0.6111
obj209.png,1.3194,0.2500
obj210.png,3.5417,0.6111
obj211.png,4.6111,0.7361
obj212.png,0.5275,0.2638
obj213.png,1.1250,0.5000
obj214.png,0.2775,0.2914
obj215.png,1.3611,0.5000
obj216.png,0.9583,0.2778
obj217.png,0.2220,0.2359
obj218.png,5.4306,0.7917
obj219.png,0.3056,0.2917
obj220.png,3.7639,0.5000
obj221.png,0.8611,0.2083
obj222.png,1.1111,0.2917
obj223.png,3.8056,1.0972
obj224.png,5.2361,1.9028
obj225.png,4.3472,0.8472
obj226.png,2.2639,0.5000
obj227.png,0.5831,0.2499
obj228.png,1.6944,0.5000
obj229.png,0.5831,0.4998
obj230.png,0.5000,0.5000
obj231.png,4.0278,2.1806
obj232.png,2.0000,0.2083
obj233.png,0.1528,0.1944
obj234.png,1.2778,0.5000
obj235.png,1.6250,0.5000
